X,Y,SMEDBOEscolas_municipaisOBJECTID,SMEDBOEscolas_municipaiscod_SMA,SMEDBOEscolas_municipaisDESIGNACAO,SMEDBOEscolas_municipaisChave,SMEDBOEscolas_municipaiscod_INEP,SMEDBOEscolas_municipaisNome_Escola,SMEDBOEscolas_municipaisendereco,SMEDBOEscolas_municipaiscod_Bairro,SMEDBOEscolas_municipaisBairro,SMEDBOEscolas_municipaisCRE,SMEDBOEscolas_municipaiscod_atividade,SMEDBOEscolas_municipaistelefones,SMEDBOEscolas_municipaisflg_valida,SMEDBOEscolas_municipaisOBS,SMEDBOEscolas_municipaislink_cartela,SMEDBOEscolas_municipaisano_criacao,SMEDBOEscolas_municipaisflg_ativa,SMEDBOEscolas_municipaisData_Inc,SMEDBOEscolas_municipaisData_Atv_Conv,SMEDBOEscolas_municipaisData_Desatv_Conv,SMEDBOEscolas_municipaisData_Atv,SMEDBOEscolas_municipaisData_Desatv,SMEDBOEscolas_municipaisTP_status_RioUrbe,SMEDBOEscolas_municipaisCod_RioUrbe,SMEDBOEscolas_municipaiscod_conveniada,SMEDBOEscolas_municipaisGlobalID,SMEDBOEscolas_municipaisFlag_Escola_Amanha,SMEDBOEscolas_municipaisFlg_UPP,SMEDBOEscolas_municipaisFlg_Gestao,SMEDBOEscolas_municipaisLink_Foto,SMEDBOEscolas_municipaisFlg_saude_escola,SMEDBOEscolas_municipaisData_Inauguracao,SMEDBOEscolas_municipaisDesignacao_num,SMEDBOEscolas_municipaisNome_abrev,SMEDBOEscolas_municipaisCod_microarea,SMEDBODados_Unidades_escolaresOBJECTID,SMEDBODados_Unidades_escolaresCRE,SMEDBODados_Unidades_escolaresDESIGNACAO,SMEDBODados_Unidades_escolaresNome_Escola,SMEDBODados_Unidades_escolaresGlobalID,SMEDBODados_Unidades_escolaresTurmasCreche,SMEDBODados_Unidades_escolaresTurmasPreEscola,SMEDBODados_Unidades_escolaresTurmasCA,SMEDBODados_Unidades_escolaresTurmasPrimario,SMEDBODados_Unidades_escolaresTurmasGinasio,SMEDBODados_Unidades_escolaresTurmasCe,SMEDBODados_Unidades_escolaresTurmasProjetos,SMEDBODados_Unidades_escolaresTurmasPeja,SMEDBODados_Unidades_escolaresSalasAula,SMEDBODados_Unidades_escolaresTurmasEI,SMEDBODados_Unidades_escolaresDesigna
-43.252896466329311,-22.993545775823094,2,019405,0227004,19405,33149275,Escola Municipal Rinaldo De Lamare,"Avenida Niemeyer, 776  ",154,Rocinha,02,1, ,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19405&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{EB8766F4-2BF7-4541-AAD6-A11F1E4B1776},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0227004.jpg,1,,227004,EM Rinaldo De Lamare,2.10,9,02,0227004,Escola Municipal Rinaldo De Lamare,{23FE9FA6-5F91-4D60-BD50-0CCA5100971E},2,22,0,0,0,3,0,17,17,24,0227004
-43.222667022734626,-22.979382203044153,3,019115,0206024,19115,33146292,Escola Municipal Sergio Vieira de Mello,"Rua Adalberto Ferreira, 19  ",26,Leblon,02,1,22599444,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19115&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{558ABAE2-F186-4977-BE39-3509531AE519},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0206024.jpg,0,,206024,EM Sergio Vieira de Mello,2.5,1650,02,0206024,Escola Municipal Sergio Vieira de Mello,{4188E95F-D8C5-4851-9C67-E7D2FE08BAA2},0,4,14,9,0,0,0,0,13,4,0206024
-43.181010970542481,-22.933988631580302,4,019404,0204021,19404,33064261,Escola Municipal Senador Corrêa,Rua Esteves Junior Nº 42  ,17,Laranjeiras,02,1,2558-3159,S,Telefone  2558-3159,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=19404&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{053F5287-B643-431A-9784-E52F590D5743},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0204021.jpg,0,,204021,EM Sen. Corrêa,2.1,1611,02,0204021,Escola Municipal Senador Corrêa,{FF24BBA8-BD1C-4DCF-9B68-0F0B81E4A815},0,4,8,6,0,2,0,0,10,4,0204021
-43.188051268539809,-22.903770169922144,5,011236,0102004,11236,33062790,Escola Municipal Rivadavia Corrêa,"Av. Pres. Vargas, 1.314  ",5,Centro,01,1,2253-8064,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11236&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{D9D6A650-872C-447B-B3CB-D129DAE370AD},0,2,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0102004.jpg,0,,102004,EM Rivadavia Corrêa,1.6,1523,01,0102004,Escola Municipal Rivadavia Corrêa,{CC116E35-84AA-4973-AE04-91DC4F919154},0,0,0,0,7,1,0,0,8,0,0102004
-43.23389436138828,-22.89220679925463,6,011555,0107501,11555,33066248,Escola Municipal Edmundo Bittencourt,"Rua Lopes Trovão, 287  ",12,Benfica,01,1,3860-5150,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11555&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{E8753692-EF31-4E32-A1AE-22B999D4A349},0,1,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0107501.jpg,0,,107501,EM Edmundo Bittencourt,1.2,1570,01,0107501,Escola Municipal Edmundo Bittencourt,{10C65679-E853-4840-AFE0-C1F4395A44F5},0,0,5,7,0,0,0,0,6,0,0107501
-43.224060494799623,-22.878421844350125,7,011230,0101009,11230,33062498,Escola Municipal Professor Walter Carlos de Magalhães Fraenkel,"Rua Carlos Seidl, 1.141  ",4,Caju,01,1,3860-1079,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11230&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{69042016-F291-4142-99BA-E0A8006D1D3F},0,1,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0101009.jpg,1,,101009,EM Prof° Walter Carlos de Magalhães Fraenkel,1.1,1507,01,0101009,Classe em Cooperação Professor Walter Carlos de Magalhães Fraenkel,{8D33D7B1-3724-4858-B24B-F0DAD65C16E0},0,0,0,4,9,0,0,0,8,0,0101009
-43.182110587705068,-22.911181151641998,8,010787,0102505,10787,33062587,CIEP José Pedro Varela,"Rua do Lavradio, 133  ",5,Centro,01,3,2240-3214,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10787&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{9BCA5726-4F57-4F30-AC87-5B3D088D5A14},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0102505.jpg,0,,102505,CIEP José Pedro Varela,1.7,1532,01,0102505,Ciep José Pedro Varela,{80DD2CEF-CD6D-4A97-95AA-DACC0A23E50F},2,6,10,2,0,0,0,13,29,8,0102505
-43.211633709670373,-22.911645258628113,9,010846,0208002,10846,33063192,Escola Municipal Reverendo Martin Luther King,"Rua Joaquim Palhares, 648  ",32,Praça da Bandeira,02,1,2273-2544,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10846&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{E33D8288-B997-4FF6-8125-4F6F92194385},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0208002.jpg,0,,208002,EM Rever. Martin Luther King,2.15,1661,02,0208002,Escola Municipal Reverendo Martin Luther King,{B5B723EA-71D6-4734-AD7C-1AC7C52297CE},0,2,5,7,7,2,0,0,26,2,0208002
-43.253098676264351,-22.940479522433645,10,011556,0208502,11556,33066507,CIEP Doutor Antoine Magarinos Torres Filho,"Rua São Miguel, S/Nº  ",33,Tijuca,02,3,2571-2676,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11556&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{CD13F1EE-C86C-4BA0-9A7F-471D35555DD8},1,1,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0208502.jpg,1,,208502,CIEP Dr. Antoine Magarinos Torres Filho,2.11,1683,02,0208502,Ciep Doutor Antoine Magarinos Torres Filho,{42DDB839-BE86-4C34-83DE-D8D8960CFA98},0,5,9,6,0,0,0,0,20,5,0208502
-43.242192023346561,-22.920405876346148,11,010879,0209013,10879,33068283,Escola Municipal Francisco Manuel,"Rua Senador Soares, 61  ",36,Vila Isabel,02,1,2570-5449,S, ,http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10879&cmd=load,,1,2012-02-06T14:38:23.000Z,,,2013-01-22T21:15:52.000Z,,0,,,{4B022BCE-07BC-4159-88EF-4FB6210DC1A7},0,0,0,http://portalgeo.rio.rj.gov.br/bcoimagens/Educacao/0209013.jpg,0,,209013,EM Francisco Manuel,2.15,241,02,0209013,Escola Municipal Francisco Manuel,{2D4E0841-623C-472B-B5E3-76ED4772A459},0,0,0,5,11,0,0,0,9,0,0209013
